Area,City,Location,LocationFlag,Month,Region,Year
Metro Vancouver,VANCOUVER,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,Intersection,SEPTEMBER,Lower Mainland,2011
Capital Regional District,ESQUIMALT,DEVONSHIRE RD & LAMPSON ST,Intersection,OCTOBER,Vancouver Island,2009
,KELOWNA,GLENWOOD AVE & PANDOSY ST,Intersection,JULY,Southern Interior,2009
Metro Vancouver,LANGLEY,272 ST & FRASER HWY,Intersection,AUGUST,Lower Mainland,2012
Metro Vancouver,NORTH VANCOUVER,MAIN ST & MOUNTAIN HWY,Intersection,MAY,Lower Mainland,2009
Metro Vancouver,NORTH VANCOUVER,BEWICKE AVE & MARINE DR & W 3RD ST & W KEITH RD,Intersection,OCTOBER,Lower Mainland,2011
Metro Vancouver,RICHMOND,NO 2 RD & WESTMINSTER HWY,Intersection,JULY,Lower Mainland,2013
Capital Regional District,SAANICH,FELTHAM RD & SHELBOURNE ST,Intersection,SEPTEMBER,Vancouver Island,2010
Capital Regional District,SAANICH,BORDEN ST & MCKENZIE AVE,Intersection,AUGUST,Vancouver Island,2013
Metro Vancouver,SURREY,108 AVE & KING GEORGE BLVD,Intersection,DECEMBER,Lower Mainland,2010
Metro Vancouver,SURREY,130 ST & 72 AVE,Intersection,SEPTEMBER,Lower Mainland,2012
Metro Vancouver,SURREY,138 ST & 72 AVE,Intersection,SEPTEMBER,Lower Mainland,2013
Metro Vancouver,UBC,DISCOVERY ST & IMPERIAL RD & W 16TH AVE,Intersection,AUGUST,Lower Mainland,2013
Metro Vancouver,VANCOUVER,CAMBIE ST BRIDGE & MARINASIDE CRES & NELSON ST & PACIFIC BLVD,Intersection,APRIL,Lower Mainland,2009
Metro Vancouver,VANCOUVER,DRAKE ST & PACIFIC BLVD,Intersection,AUGUST,Lower Mainland,2009
Metro Vancouver,VANCOUVER,COLUMBIA ST & E HASTINGS ST,Intersection,JUNE,Lower Mainland,2009
Metro Vancouver,VANCOUVER,CEDARHURST ST & SW MARINE DR & W 49TH AVE,Intersection,MARCH,Lower Mainland,2009
Metro Vancouver,VANCOUVER,OAK ST & W 41ST AVE,Intersection,AUGUST,Lower Mainland,2010
Metro Vancouver,VANCOUVER,PINE ST & W 7TH AVE,Intersection,AUGUST,Lower Mainland,2010
Metro Vancouver,VANCOUVER,BIRCH ST & W 10TH AVE,Intersection,JULY,Lower Mainland,2010
Metro Vancouver,VANCOUVER,CAMBIE ST & W 8TH AVE,Intersection,JULY,Lower Mainland,2010
Metro Vancouver,VANCOUVER,LARCH ST & W 8TH AVE,Intersection,JULY,Lower Mainland,2010
Metro Vancouver,VANCOUVER,BLENHEIM ST & SW MARINE DR,Intersection,SEPTEMBER,Lower Mainland,2010
Metro Vancouver,VANCOUVER,ABBOTT ST & W PENDER ST,Intersection,SEPTEMBER,Lower Mainland,2010
Metro Vancouver,VANCOUVER,GRANDVIEW HWY & NATAL ST,Intersection,AUGUST,Lower Mainland,2011
Metro Vancouver,VANCOUVER,E 1ST AVE & MAIN ST,Intersection,AUGUST,Lower Mainland,2011
Metro Vancouver,VANCOUVER,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,Intersection,AUGUST,Lower Mainland,2011
Metro Vancouver,VANCOUVER,CLARK DR & E 10TH AVE,Intersection,JUNE,Lower Mainland,2011
Metro Vancouver,VANCOUVER,BIRCH ST & W 10TH AVE,Intersection,JUNE,Lower Mainland,2011
Metro Vancouver,VANCOUVER,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,Intersection,JUNE,Lower Mainland,2011
Metro Vancouver,VANCOUVER,MAIN ST & MAIN ST ONRAMP & UNION ST,Intersection,JUNE,Lower Mainland,2011
Metro Vancouver,VANCOUVER,BEATTY ST & W PENDER ST,Intersection,JUNE,Lower Mainland,2011
Metro Vancouver,VANCOUVER,E 10TH AVE & VICTORIA DR,Intersection,MARCH,Lower Mainland,2011
Metro Vancouver,VANCOUVER,BUTE ST & DAVIE ST,Intersection,SEPTEMBER,Lower Mainland,2011
Metro Vancouver,VANCOUVER,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,Intersection,AUGUST,Lower Mainland,2012
Metro Vancouver,VANCOUVER,E 4TH AVE & MAIN ST,Intersection,JULY,Lower Mainland,2012
Metro Vancouver,VANCOUVER,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,Intersection,JULY,Lower Mainland,2012
Metro Vancouver,VANCOUVER,BURRARD ST & DAVIE ST,Intersection,MARCH,Lower Mainland,2012
Metro Vancouver,VANCOUVER,E HASTINGS ST & NANAIMO ST,Intersection,MAY,Lower Mainland,2012
Metro Vancouver,VANCOUVER,PINE ST & W 10TH AVE,Intersection,OCTOBER,Lower Mainland,2012
Metro Vancouver,VANCOUVER,DISCOVERY ST & IMPERIAL RD & W 16TH AVE,Intersection,AUGUST,Lower Mainland,2013
Metro Vancouver,VANCOUVER,CAMPBELL AVE & UNION ST,Intersection,FEBRUARY,Lower Mainland,2013
Metro Vancouver,VANCOUVER,W 10TH AVE & YUKON ST,Intersection,JANUARY,Lower Mainland,2013
Metro Vancouver,VANCOUVER,GRANVILLE ST & MILTON ST & SW MARINE DR,Intersection,JULY,Lower Mainland,2013
Capital Regional District,VICTORIA,BELCHER AVE & FORT ST & LEIGHTON RD,Intersection,OCTOBER,Vancouver Island,2010
Capital Regional District,VICTORIA,PEMBROKE ST & SHAKESPEARE ST,Intersection,DECEMBER,Vancouver Island,2011
,100 MILE HOUSE,FINN RD & HORSE LAKE RD,Intersection,JULY,North Central,2012
,ABBOTSFORD,DELAIR RD & OLD YALE RD,Intersection,APRIL,Lower Mainland,2009
,ABBOTSFORD,CLEARBROOK RD & CLEARBROOK RD OFFRAMP & CLEARBROOK RD ONRAMP & MARSHALL RD,Intersection,APRIL,Lower Mainland,2009
,ABBOTSFORD,MACLURE RD & TRETHEWEY ST,Intersection,APRIL,Lower Mainland,2009
,ABBOTSFORD,LEFEUVRE RD & MARSH MCCORMICK RD,Intersection,APRIL,Lower Mainland,2009
,ABBOTSFORD,MILL LAKE RD & W BOURQUIN CRES,Intersection,AUGUST,Lower Mainland,2009
,ABBOTSFORD,ALLWOOD ST & SOUTH FRASER WAY,Intersection,AUGUST,Lower Mainland,2009
,ABBOTSFORD,JANZEN ST & OLD YALE RD,Intersection,AUGUST,Lower Mainland,2009
,ABBOTSFORD,BABICH ST & MACLURE RD,Intersection,AUGUST,Lower Mainland,2009
,ABBOTSFORD,OLD YALE RD & SOUTH FRASER WAY,Intersection,FEBRUARY,Lower Mainland,2009
,ABBOTSFORD,ESSENDENE AVE & MCCALLUM RD & SOUTH FRASER WAY,Intersection,JANUARY,Lower Mainland,2009
,ABBOTSFORD,GEORGE FERGUSON WAY & TIMS ST,Intersection,MAY,Lower Mainland,2009
,ABBOTSFORD,HILL-TOUT ST & PEARDONVILLE RD & SOUTH FRASER WAY,Intersection,NOVEMBER,Lower Mainland,2009
,ABBOTSFORD,GLADWIN RD & LANDEAU PL & SIMON AVE,Intersection,NOVEMBER,Lower Mainland,2009
,ABBOTSFORD,ABBOTSFORD WAY & MARSHALL RD,Intersection,OCTOBER,Lower Mainland,2009
,ABBOTSFORD,HILLCREST AVE & JAMES ST,Intersection,OCTOBER,Lower Mainland,2009
,ABBOTSFORD,BLUERIDGE DR & CLEARBROOK RD,Intersection,OCTOBER,Lower Mainland,2009
,ABBOTSFORD,MARSHALL RD & VEDDER WAY & TURNING LANE,Intersection,SEPTEMBER,Lower Mainland,2009
,ABBOTSFORD,MARSHALL RD & SALTON RD,Intersection,SEPTEMBER,Lower Mainland,2009
,ABBOTSFORD,BEVAN AVE & WARE ST,Intersection,SEPTEMBER,Lower Mainland,2009
,ABBOTSFORD,MILL LAKE RD & WALSH AVE & WARE ST,Intersection,SEPTEMBER,Lower Mainland,2009
,ABBOTSFORD,AUSTIN AVE & CLEARBROOK RD,Intersection,SEPTEMBER,Lower Mainland,2009
,ABBOTSFORD,CLEARBROOK RD & MADIERA PL,Intersection,APRIL,Lower Mainland,2010
,ABBOTSFORD,VINEWOOD ST & WARE ST,Intersection,APRIL,Lower Mainland,2010
,ABBOTSFORD,FRASER HWY & ROSS RD,Intersection,APRIL,Lower Mainland,2010
,ABBOTSFORD,MARSHALL RD & SUMAS WAY & TURNING LANE,Intersection,AUGUST,Lower Mainland,2010
,ABBOTSFORD,BEVAN AVE & WARE ST,Intersection,AUGUST,Lower Mainland,2010
,ABBOTSFORD,IMMEL ST & OLD CLAYBURN RD,Intersection,AUGUST,Lower Mainland,2010
,ABBOTSFORD,FRASER HWY & ROSS RD,Intersection,AUGUST,Lower Mainland,2010
,ABBOTSFORD,OLD CLAYBURN RD & PIERCE TERR,Intersection,AUGUST,Lower Mainland,2010
,ABBOTSFORD,GEORGE FERGUSON WAY & MCCALLUM RD,Intersection,DECEMBER,Lower Mainland,2010
,ABBOTSFORD,EMERSON ST & SOUTH FRASER WAY & UNSIGNED,Intersection,DECEMBER,Lower Mainland,2010
,ABBOTSFORD,LEDGEVIEW DR & MCKEE RD,Intersection,FEBRUARY,Lower Mainland,2010
,ABBOTSFORD,DOWNES RD & MT LEHMAN RD,Intersection,FEBRUARY,Lower Mainland,2010
,ABBOTSFORD,HILLCREST AVE & PARKVIEW ST,Intersection,JANUARY,Lower Mainland,2010
,ABBOTSFORD,AUBURN ST & SOUTH FRASER WAY,Intersection,JANUARY,Lower Mainland,2010
,ABBOTSFORD,MARSHALL RD & SUMAS WAY & TURNING LANE,Intersection,JULY,Lower Mainland,2010
,ABBOTSFORD,GEORGE FERGUSON WAY & GLADWIN RD,Intersection,JULY,Lower Mainland,2010
,ABBOTSFORD,LABURNUM AVE & MIERAU ST,Intersection,JUNE,Lower Mainland,2010
,ABBOTSFORD,GLADWIN RD & MARSHALL RD,Intersection,MARCH,Lower Mainland,2010
,ABBOTSFORD,FULLER ST & GEORGE FERGUSON WAY,Intersection,MARCH,Lower Mainland,2010
,ABBOTSFORD,SIMON AVE & TRETHEWEY ST & VETERANS WAY,Intersection,MARCH,Lower Mainland,2010
