ON_STREET,AT_STREET,FATAL,ACC_DATE,ACC_TIME,ACC_TYPE
RICHMOND,ADANAC,,2008/09/20,1448,Left Turn - Traffic On Left
ALDER,REED,,2008/03/26,1150,Left Turn - Traffic On Left
ASHGROVE,FORT,,2008/11/07,1425,Right Angle
BAY,ASQUITH,,2011/09/07,0735,Left Turn Opposing
HAULTAIN,ASQUITH,,2012/06/08,2210,Overtaking
KINGS,ASQUITH,,2011/01/19,1610,Right Angle
AVEBURY,HAULTAIN,,2008/08/08,1340,Right Turn Across Path
BALFOUR,GORGE,,2009/09/15,1735,Overtaking
VANCOUVER,BALMORAL,,2010/07/17,0120,Overtaking
BANK,FORT,,2009/04/15,1743,Left Turn Opposing
VANCOUVER,BALMORAL,,2010/07/19,0830,Right Angle
BALFOUR,GORGE,,2011/06/03,,Right Turn - Traffic On Left
GORGE,BALFOUR,,2011/08/18,1929,Right Angle
ESQUIMALT,BARNARD,,2012/05/29,1610,Right Turn - Traffic On Left
ON BRIDGE,BAY,,2012/05/12,1545,Overtaking
300 BLOCK,BAY,,2010/02/05,2149,Overtaking
BAY,BLANSHARD,,2008/06/25,1909,Right Turn Across Path
BAY,BRIDGE,,2009/07/19,1154,Left Turn - Traffic On Right
BAY,COOK,,2010/12/15,0933,Overtaking
BAY,COOK,,2011/08/18,1819,Left Turn Opposing
BAY,DOUGLAS,,2009/09/07,1341,Right Angle
BAY,DOUGLAS,,2009/08/04,1418,Right Angle
BAY,DOWLER,,2008/08/08,1115,Right Angle
GOVERNMENT,BAY,,2011/02/04,0704,Rear End
BAY,HENRY,,2009/10/26,0700,Head On
BAY,OREGON,,2012/12/13,1839,Right Angle
BAY,QUADRA,,2012/09/06,0727,Left Turn - Traffic On Left
BAY,TYEE,,2009/09/30,1242,Left Turn Opposing
TYEE,BAY,,2012/06/01,2200,Right Angle
BAY,TYEE,,2012/08/10,0555,Left Turn Opposing
BAY,VANCOUVER,,2012/06/13,1331,Right Angle
BAY,WARK,,2012/03/21,2027,Left Turn - Traffic On Right
1600 BLOCK,BEGBIE,,2012/09/01,1704,Backing
BEGBIE,PANDORA,,2009/08/28,0758,Right Angle
BELLEVILLE,GOVERNMENT,,2008/11/04,2351,Right Angle
BELMONT,HAULTAIN,,2009/04/17,1849,Right Angle
BELMONT,HILLSIDE,,2009/11/16,1115,Left Turn - Traffic On Left
HILLSIDE,BELMONT,,2012/05/31,2148,Right Angle
1500 BLOCK,BLANSHARD,,2012/11/20,1740,Left Turn - Traffic On Left
1600 BLOCK,BLANSHARD,,2010/08/01,0956,Overtaking
1000 BLOCK,BLANSHARD,,2010/10/22,0837,Side Swipe
3100 BLOCK,BLANSHARD,,2008/07/21,0922,Right Turn Across Path
3100 BLOCK,BLANSHARD,,2012/09/04,1125,Overtaking
2800 BLOCK,BLANSHARD,,2009/08/28,2352,Rear End
1100 BLOCK,BLANSHARD,,2012/09/18,0808,Overtaking Left
BLANSHARD,BURDETT,,2012/07/19,0904,Overtaking
CALEDONIA,BLANSHARD,,2012/11/11,1434,Left Turn Opposing
BLANSHARD,FINLAYSON,,2009/06/02,0648,Left Turn Opposing
BLANSHARD,FINLAYSON,,2008/06/30,0731,Left Turn Opposing
BLANSHARD,FISGARD,,2009/06/29,0700,Right Angle
BLANSHARD,PEMBROKE,,2010/11/18,1623,Overtaking
BLANSHARD,TOLMIE,,2010/08/31,1320,Right Angle
BLANSHARD,TOLMIE,,2011/04/10,2224,Left Turn Opposing
YATES,BLANSHARD,,2011/03/26,0040,Right Angle
BRIDGE,JOHN,,2012/12/11,1609,Right Angle
600 BLOCK,BROUGHTON,,2009/10/26,1500,Rear End
GOVERNMENT,BROUGHTON,,2010/02/28,0715,Right Angle
BROUGHTON,GOVERNMENT,,2008/12/10,0744,Right Angle
BROUGHTON,WHARF,,2009/04/22,1700,Right Angle
400 BLOCK,BURNSIDE,,2010/12/02,1832,Single Vehicle
BURNSIDE,FRANCIS,,2012/09/12,1902,Right Angle
BURNSIDE,HARRIET,1,2011/11/28,1408,Overtaking
BURNSIDE,HARRIET,,2009/09/15,1607,Right Angle
DOUGLAS,CHATHAM,,2008/07/13,1522,Right Turn - Traffic On Right
CALEDONIA,DOUGLAS,,2012/07/31,1020,Left Turn Opposing
DOUGLAS,CALEDONIA,,2010/12/08,0645,Left Turn Opposing
CALEDONIA,DOUGLAS,,2008/04/26,2135,Right Angle
CALEDONIA,DOUGLAS,,2009/01/19,1831,Left Turn Opposing
QUADRA,CALEDONIA,,2010/08/24,1643,Overtaking
2800 BLOCK,CEDAR HILL,,2009/05/28,1914,Changing Lanes
FINLAYSON,CEDAR HILL,,2011/01/23,1326,Left Turn Opposing
CEDAR HILL,GOSWORTH,,2008/07/02,1523,Right Turn Across Path
CEDAR HILL,HAULTAIN,,2008/11/03,1721,Right Angle
KIWANIS,CEDAR HILL,,2012/11/13,2200,Left Turn Opposing
CHAMBERS,NORTH PARK,,2010/07/24,2326,Right Angle
OAK BAY,CHAMBERLAIN,,2012/02/15,1355,Left Turn Opposing
CHAMBERS,QUEENS,,2009/06/15,2120,Right Turn - Traffic On Right
CHATHAM,DOUGLAS,,2009/02/15,1423,Right Angle
CIRCLE,PARK,,2012/08/07,0718,Left Turn Opposing
300 BLOCK,COOK,,2008/10/18,1220,Right Turn Across Path
300 BLOCK,COOK,,2012/01/10,1219,Overtaking
300 BLOCK,COOK,,2011/06/28,1205,Rear End
1800 BLOCK,COOK,,2011/05/14,2246,Rear End
DALLAS,COOK,,2011/06/17,1423,Left Turn - Traffic On Left
FAIRFIELD,COOK,,2012/05/05,2119,Right Angle
COOK,HAULTAIN,,2011/06/30,0754,Right Angle
COOK,HAULTAIN,,2008/03/26,1222,Right Turn - Traffic On Right
HAULTAIN,COOK,,2010/03/06,1435,Overtaking
COOK,JOHNSON,,2008/12/11,1100,Left Turn Opposing
COOK,LANG,,2008/04/27,1437,Right Turn - Traffic On Right
COOK,PANDORA,,2009/10/26,1700,Left Turn - Traffic On Left
COOK,PANDORA,,2009/01/22,0735,Left Turn - Traffic On Left
COOK,ROCKLAND,,2008/11/23,1758,Rear End
COOK,VIEW,,2011/02/09,,Left Turn Opposing
COOK,YATES,,2008/12/11,1700,Left Turn Opposing
700 BLOCK,CORMORANT,,2010/05/02,1427,Right Angle
DOUGLAS,CORMORANT,,2010/07/06,0735,Left Turn Opposing
RICHMOND,CORONATION,,2012/10/08,1507,Right Turn - Traffic On Right
CORONATION,RICHMOND,,2009/09/15,2310,Overtaking
CRAIGFLOWER,PINE,,2009/06/24,1524,Right Angle
1500 BLOCK,DALLAS,,2009/07/21,1712,Left Turn Opposing
1300 BLOCK,DALLAS,,2009/03/14,1325,Left Turn Opposing
1300 BLOCK,DALLAS,,2011/09/24,1212,Rear End
DAVID,GORGE,,2008/04/18,1621,Left Turn Opposing
